Library,Commit,Root Cause,Date,bug report,PR/Issue,Violation,Impact,Action,condition,Fixing element,Fixing element detail,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/645f2c0cef75e80cdcaaaceca94a785191b9f423,Edge Cases,2017-09-07 20:04:36,[XLA] Add a check to the HLO verifier for badly formatted Broadcasts.,,Missing,Program Crash,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/95166f5960322cc784a7e8f339a701da80a41a1e,Null Value,2017-08-03 22:57:12,Add a null check on enter_ctx and update the null check on merge_ctx ,,Missing,Program Crash,add,Macro Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/b65d9ec2b78c7c23e368ed4eec7b4deb89dcd712,Edge Cases,2017-07-21 16:29:29,"Fix value error generated on is_scalar check. Fix value error generated on is_scalar check. `is_scalar = shape is not None and not shape` raises a value error when shape is a scalar, ""ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()""",,Insufficient,Program Crash,extend,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/e05f78a9b688a8ae37b1a03bfc4459e18e3b88e4,Device Availability,2017-06-14 1:19:53,"After synchronizing CUDA device, check for errors. ",,Missing,Unexpected Behavior,add,If Checker,Available Device,Device,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/70ade1b64f65d0a2275672d27129627ff116a997,Others,2017-06-13 19:58:21, Fix defect: shuffle_batch gives ZeroDivisionError when computing capacity stat. * Fix defect: shuffle_batch gives ZeroDivisionError when computing capacity stat. * Cover < case in error checking,,Missing,Others,add,If Checker,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/7254b098e04c5deba029b06967803422cdf329e6,Edge Cases,2017-05-22 15:25:48,"InferenceContext::UnknownShapeOfRank support unknown rank, check rank>=0",,Missing,Program Crash,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/41deb95a7bde735d3c8b9adedd8b1fe8c1ef2732,Edge Cases,2017-05-20 22:19:01,"support unknown rank, check rank>=0",,Missing,Program Crash,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/c7f79bb75b5b83c3011e164ccd617a6ada910ea4,Edge Cases,2017-05-10 18:29:07,StatSummarizer: Put size check error message outside of if block where it belongs.,,Improper,Confusing Error Message,relocate,If Checker,Shape Mismatch Between Tensors,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/0a9b39caefd437fec742ae48b25061abd6e2699b,Others,2017-04-28 21:04:24," When allocating GPU constants, check to see if the destination. tensor is intialized early (because we ran out of memory) and report it as such.",,Missing,Performance Degradation,add,If Checker,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/fa8381593d0cbe354cb54d691e0a8c42bf4b69d0,Edge Cases,2017-04-27 17:47:43," Move Batch op input validation before enqueueing to the batch scheduler, because earlier error detection is better (and also so batch->size() doesn't crash if #dims==0 :).",,Improper,Program Crash,relocate,Macro Checker,Shape Mismatch Between Tensors,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/bc7b64fe998cb0f118eace5bc29b52554eeda3f1,Edge Cases,2017-03-17 22:49:05, Added back the channel dimension check as a known channel dimension is required by creating beta.,,Missing,Program Crash,add,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/fb1c4cd8283f262bca95ccd04df6f9eb4ae1da0c,Edge Cases,2017-03-17 16:44:35,Add None check for seq_len_mask before reshape.,,Missing,Program Crash,add,If Checker,Object is Not Empty,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/ca170f34d9174d6981850855190a398393aa921e,Null Value,2017-03-17 16:27:50, [Tensorflow] Add check fail when user passes a tensor with nullptr to lookup.,,Missing,Program Crash,add,Macro Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/a0ca4bcb81dfd07fdb1c7872b5852f84cfc1a081,Edge Cases,2017-03-16 19:48:57,Fix separable convolution bias check,,Improper,Program Crash,update,If Checker,Object is Not Empty,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/cd8d0bf58ad554588012898161c91fa453bbf7f0,Null Value,2017-02-21 17:07:40,Address edge case where runStats is null and the interface is closed.,,Missing,Program Crash,add,If Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/02703f9525696f4788496745f6756585c1c546a3,Boundary Value,2017-02-15 1:50:18,Fix crash in range sampler by adding a range check in the sampler op.,,Missing,Program Crash,add,If Checker,In Range Tensor Indexing,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/a5b8d6c4694e4cd3e3cc4a162053ab0dfa6e174f,Edge Cases,2016-12-02 13:20:52,Relax the check for whether the relevant aggregation dimensions are known ahead of time.,,Insufficient,Unexpected Behavior,extend,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/5e0c9fff657498f9a74da38b2ce1b4721698a388,Boundary Value,2016-12-01 12:46:02, Add bounds checks to jpeg parsing code. ,0,Missing,Program Crash,add,If Checker,In Range Tensor Indexing,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/c6899c721f3a4b4f2e71ae4e6d1767341112ff93,Edge Cases,2016-10-06 19:38:54,bug fix when iterators stops at multiple of batch_size ,,Missing,Program Crash,add,If Checker,Valid Integer Argument,Integer Variable,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/8876a1796aeced8f89c279cbc98db9c7957ddbd1,Edge Cases,2016-09-22 9:03:33, Updated check for existence of TensorFlow objects to 'is not None' rather than 'if [object]'.,,Improper,Program Crash,update,If Checker,Object is Not Empty,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/aa54f547f04c3007b26df2379c6cf5f081948d0b,Type Checking,2016-08-18 12:16:11, Updated the check_numerics function to also validate the gradient corresponding to the tensor it's validating,,Missing,Unexpected Behavior,add,type Checking API,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/314d9cd9b607460f8bfea80fc828b1521ca18443,Null Value,2016-07-21 17:25:35,Fix segfault in MacOS when GPU is not available ,,Missing,Program Crash,add,If Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/a93ac5f7d147ae8fe946de33ad654161ae851352,Tensor Quantization,2016-07-06 20:04:56," For quantization values where range_min == range_max, use the lowest_quantized.  Add needed checks for divide-by-zero.",,Missing,Numerical Error,add,If Checker,Valid Tensor Quantization,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/1220ba3ab332d6233a84d660cafb3d4e29958224,Boundary Value,2016-03-18 11:47:58,Fix two potential asynchrony bounds-check bugs in transpose op. ,,Improper,Program Crash,update,Macro Checker,In Range Tensor Indexing,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/55aec0a33011773240f6696393952c984ca8de16,Edge Cases,2016-03-08 20:20:28, Add explicit not-None checks for the height and width in `resize_images()`. This was previously raising a `FutureWarning` when the height and/or width were dynamic.,,Insufficient,Program Crash,extend,If Checker,Valid Tensor Dimension,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/f3a2094065c8b4b7bae426e71c923a8a8abb74b5,Type Checking,2024-02-09 13:24:09,"Mitigate legacy issue that aten op as export entrance function. This is not supported any more, now the top level ```torch.export``` only support ```nn.Module```, but there are still some tests using the internal APIs and caused the ```trace_rules.check``` assertion error. This PR is going to mitigate such cases.",,Insufficient,Unexpected Behavior,extend,If Checker,Valid Object Type,Regular Object,,,
pytorch,https://github.com/pytorch/pytorch/commit/41902a6ebc1806e7f4d6ce1da604cc9921c6515e,Execution Mode,2024-01-29 3:31:26,Optimize is_tracing checks ,1,Missing,Performance Degradation,add,If Checker,Tensor is Executed in Eager Mode,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/dc43ad428603539a2051940c09b191825f66203d,Others,2024-01-10 22:37:45," add is_grad_enabled check in runtime_wrapper before running with torch.no_grad. We observed that `with torch.no_grad()` in runtime_wrapper introduced ~10% (0.06ms->0.066ms) inference performance regression on lennard_jones on cpu. For inference tasks in benchmark, grad has been disabled, but in the current runtime_wrapper, no_grad is set again and its time is counted into the running time. Therefore, we add `is_grad_enabled` check in runtime_wrapper before running with torch.no_grad. If grad has been disabled, there is no need to set no_grad. ",1,Missing,Performance Degradation,add,If Checker,Others,Others,,,
pytorch,https://github.com/pytorch/pytorch/commit/f6639359357452de8bfc691430396ded98ea399c,Boundary Value,2024-01-07 23:55:35," [MPS] Fix boundary checks in generateKernelOffsets.`TORCH_CHECK(i<UINT32_MAX)` is always false, it should be `TORCH_CHECK(iterShape[i] < UINT32_MAX)`",1,Improper,Program Crash,update,Macro Checker,In Range Tensor Indexing,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/02e2158e754bafda46e663052c838aeb6ab6b560,Boundary Value,2023-12-28 17:09:03, Fix for out of bounds read in mobile interpreter INTERFACE_CALL opcode handler. The INTERFACE_CALL opcode for the mobile TorchScript interpreter contained an out of bounds read issue leading to memory corruption. This change adds an explicit check that the number of inputs passed to the format method called when handling the INTERFACE_CALL opcode is a valid and within bounds of the stack.,1,Missing,Program Crash,add,Macro Checker,In Range Tensor Indexing,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/66b04e3cb707d30c4698b269c83cb6221848f17a,Null Value,2023-12-14 18:40:54,"nullptr profiling name. Sometimes profiling name can be a nullptr, which throws on conversion to std::string. This adds a check.",1,Missing,Program Crash,add,Ternary Operatory,Object is Not Null,Regular Object,,,
pytorch,https://github.com/pytorch/pytorch/commit/1becd2c314f45bded8d3fbec91d785e7190b4afe,Device Availability,2023-12-12 17:20:20,"Align checks in _use_cudnn_ctc_loss with those in _cudnn_ctc_loss.This PR is intended to fix the following problem: When using `CTCLoss`, there is a cudnn path gated by a call to [`_use_cudnn_ctc_loss`] which checks some conditions. However, there are more checks in `_cudnn_ctc_loss`.  some of which are not present in `_use_cudnn_ctc_loss` (e.g. the check that `targets` is on CPU which will cause a RuntimeError after dispatching to `_cudnn_ctc_loss`). Instead, these checks should be in `_use_cudnn_ctc_loss` so that the normal `_ctc_loss` path will be used if the checks are not met)",1,Insufficient,Others,extend,If Checker,Available Device,Device,,,
pytorch,https://github.com/pytorch/pytorch/commit/7553c495147f3e21a1e27d392d277906a47768e7,Edge Cases,2023-12-12 13:02:05,"Fix distributed debug w/ non-equal split. In collectives, it's possible to have non-equal split that has a different implementation and the output tensor size will be different.  However, TORCH_DISTRIBUTED_DEBUG=DETAIL will assume the output tensor size is the same and does the check and will fail the job if they don't. Ideally we should check the input size across ranks and make sure they're the same. Maybe for next diff.",1,Missing,Program Crash,add,If Checker,Shape Mismatch Between Tensors,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/99f06c0cc2a907d8fbf613768356838548f1f8c0,Error Message,2023-12-11 16:21:10,update errors to be more descriptive we call `_check_single_tensor` and `_check_tensor_list` as validation but don't print out the param types that were invalid,1,Misleading,Confusing Error Message,update,If Checker,Improve Error Message,Error Message,,,
pytorch,https://github.com/pytorch/pytorch/commit/490f2d75700a806bdc6110e881e78493cde163e3,Device Availability,2023-12-05 23:44:49,"Skip privateuse1's checkZeroPoints. We want to use ``quantize_per_channel`` to create a quantized tensor, but we found that ``checkZeroPoints`` for ``privateuse1`` backend failed. ``quantize_tensor_per_channel_affine`` will ``checkZeroPoints`` for all backends expect ``CUDA``:  However, our ``privateuse1`` backend will get a segmentation error if we try to cast our data to int64_t in ``checkZeroPoints``: So if we can skip ``privateuse1``'s ``checkZeroPoints`` and check this item in the actual device function? What do you think?",1,Insufficient,Program Crash,extend,If Checker,Available Device,Device,,,
pytorch,https://github.com/pytorch/pytorch/commit/c1e51fcbfc70c089276530ee64fb626e3f7f4f2b,Device Type,2023-11-29 23:43:46,Relax tolerance for cuda accuracy check,1,Missing,Unexpected Behavior,add,If Checker,Valid Device Type,Device,,,
pytorch,https://github.com/pytorch/pytorch/commit/a076a74f1118da171cf70d00d1de4abbe27cf85d,Device Availability,2023-11-29 0:59:35, Add xpu device in assertion for nested tensor creation,1,Insufficient,Program Crash,extend,If Checker,Available Device,Device,,,
pytorch,https://github.com/pytorch/pytorch/commit/4d07428edee863e7f5920f0672957a9711a9f0b5,Boundary Value,2023-11-21 20:05:42,Fix for out of bounds read in mobile interpreter FORMAT opcode handler. Summary: The FORMAT opcode for the mobile TorchScript interpreter contained an out of bounds read issue leading to memory corruption. This change adds an explicit check that the number of inputs passed to the format method called when handling the FORMAT opcode is a valid and within bounds of the stack.,1,Missing,Program Crash,add,If Checker,Others,Others,,,
pytorch,https://github.com/pytorch/pytorch/commit/fb25fd6f865ed0532caf710ca130b6cc23a772a8,Others,2023-11-20 20:24:21,Replaced neg dim normalization with assert in helper. I think we can still leave the check for negative shard dimension in `compute_local_shape_and_global_offset` and replace the normalization logic with an assert. This should provide us a stack trace to see which user-facing API did not normalize the dim as expected.,1,Improper,Program Crash,replace,Assertion Statement,Others,Others,,,
pytorch,https://github.com/pytorch/pytorch/commit/d01f8b291d437a37ec8809a18c1bb2ebfa825285,Computation Graph,2023-11-08 0:27:15,Fix visualize_overlap for Inductor comm reordering. The following assumptions are not always valid and need checking: 1. `snode.node` exists 2. `snode.node.layout.size` exists 3. `snode.node.layout.stride` exists 4. `snode.node.name` exists Also there is no guarantee that there won't be two collectives running at the same time. But it's hard to visualize the overlap in that case. So disable the visualization for that case for now.,1,Missing,Unexpected Behavior,add,If Checker,Valid Computation Graph,Computation Graph,,,
pytorch,https://github.com/pytorch/pytorch/commit/93cea394dee1315c7a85ead7bb7af21363157c4f,Device Version,2023-11-07 21:51:18,Currently we compare `CUDA_INCLUDE_DIRS` and expect exact equality with `CUDAToolkit_INCLUDE_DIR` however this fails in the presense of symbolic links or for split installs where there are multiple include paths.,3,Improper,Unexpected Behavior,update,If Checker,Valid Device Version,Device,,,
pytorch,https://github.com/pytorch/pytorch/commit/8198474eb763c8d526ede3418211479c2f4cbd30,Computation Graph,2023-11-02 15:31:32,"Previous to this PR, we only checked TorchScript nodes for scope compatibility, skipping their parent's scope reference check.",1,Missing,Unexpected Behavior,add,Checker API,Valid Computation Graph,Computation Graph,,,
pytorch,https://github.com/pytorch/pytorch/commit/e574a8ab55b2ac4266211d30d98d32d8b849ea86,Type Checking,2023-10-24 21:18:32, Add sanity checks to ensure no double-wrapping of `FakeTensor`s produced by the current graph,1,Missing,Unexpected Behavior,add,Type Checking API,Others,Others,,,
pytorch,https://github.com/pytorch/pytorch/commit/097defb1608827d82b18b27adeec0a98b72a9281,Device Availability,2023-10-11 23:37:18,only check when world size > num_devices per host,1,Insufficient,Program Crash,extend,If Checker,Available Device,Device,,,
pytorch,https://github.com/pytorch/pytorch/commit/07f0f383fa23e63eca164036ab58ab983e9437eb,Type Checking,2023-10-11 22:14:38,"update tensor-like to check instance for torch function impl. tensor like should check the instance for a torch function impl, not the type",1,Unnecessary,Unexpected Behavior,remove,If Checker,Valid Tensor Type,Device,,,
pytorch,https://github.com/pytorch/pytorch/commit/52e76a305677dfaf26cd5d59bd1aa239375f833c,Edge Cases,2023-10-11 17:26:41,"fix ShardedTensor.gather when shard is empty. current ShardedTensor.gather is not working as expectation when the shard is empty on any rank The root cause is identified that when a sharded tensor has no placement on a specific rank, the metadata doesn't include that rank's placement which introduces KeyError in :```shard_offset = shard_placement[shard. Metadata][1]``` It's fixed by adding an empty tensor check.",1,Missing,Unexpected Behavior,add,If Checker,Tensor is Not Empty,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/468a73f0e3527c52495c864c7d48dc26684f6c0b,Type Checking,2023-10-09 21:46:33, Support Numpy ints in the torch.nn.functional.interpolate dtype check. This PR updates the check to also include numpy integers,1,Missing,Others,add,If Checker,Valid Object Type,Regular Object,,,
pytorch,https://github.com/pytorch/pytorch/commit/6b4c686b9a33a1503a4a4133f9067dd31e0822f7,Device Version,2023-10-08 0:06:44,"Forward fix a performance regression caused by #110510. When a model is run once, all those kernel pointers are initialized and removing the if-nullptr check will cause those loadKernel be unnecessarily executed again when we rerun the foward function.",2,Improper,Performance Degradation,update,If Checker,Valid Device Version,Device,,,
pytorch,https://github.com/pytorch/pytorch/commit/a8653f35de02c7fb038e3c184dda6e67a12a39e2,Device Availability,2023-10-04 22:42:57,Perf win by check which device tensors are on,1,Missing,Performance Degradation,add,If Checker,Available Device,Device,,,
pytorch,https://github.com/pytorch/pytorch/commit/fd6c993eeaacda7ef6b83f59ad3474aed0d52eaf,Device Availability,2023-10-02 13:34:31,Add missing CUDA error check,1,Missing,Performance Degradation,add,Macro Checker,Available Device,Device,,,
pytorch,https://github.com/pytorch/pytorch/commit/175ccfc4c8443bcc65c87d9c942272d3ebf16b0b,Null Value,2023-09-21 19:19:17,flatbuffer module fields are not initialized,1,Insufficient,Program Crash,extend,Macro Checker,Object is Not Empty,Regular Object,,,
pytorch,https://github.com/pytorch/pytorch/commit/871b5caae76185cff141c522b3133e7543c8dabf,Device Availability,2023-09-18 20:10:51,"Fix hpu deserialization bug. fix hpu deserialization bug. It should check hpu model if and only if location start with hpu. Otherwise, it always raise an AssertError if hpu is not imported. This break the serialization/desirialization functionality abourt other third-party like IPEX. only assert hpu model when start with hpu",1,Improper,Unexpected Behavior,relocate,Assertion Statement,Available Device,Device,,,
pytorch,https://github.com/pytorch/pytorch/commit/55c19a3c6d38a49fe34e008c4c566445c43810f0,Type Checking,2023-09-16 6:02:56,"Increase multiplier to 3 for Inductor AMP benchmark correctness check. we find some of the models have failed the benchmark's correctness check. However, the end-to-end model's accuracy. when comparing AMP with FP32 is within a difference of less than 0.1%. Thus, it's possible that the correctness check failures for these models are false alarms. We use multiplier of 3 instead of 2 in this PR to avoid these false alarms.",1,Missing,Unexpected Behavior,add,If Checker,Valid Object Type,Regular Object,,,
pytorch,https://github.com/pytorch/pytorch/commit/4ee179c9528c8c6aae17a01f2b0d7e8235219219,Edge Cases,2023-09-15 20:07:19,"Fix ConstantVariable init method if NumPy is missing. By adding `np is not None` check before `isinstance(value, np.number)`",1,Insufficient,Unexpected Behavior,extend,If Checker,Object is Not Empty,Regular Object,,,
pytorch,https://github.com/pytorch/pytorch/commit/62732bdcdb8b6112e01366d4ad1c2a50e61da1ed,Computation Graph,2023-09-13 21:40:49,quick fix for invalid nodes. Summary: As title.Need to check whether node is valid before fusion,1,Insufficient,Unexpected Behavior,extend,Boolean Expression,Valid Computation Graph,Computation Graph,,,
pytorch,https://github.com/pytorch/pytorch/commit/d471eaeb1d2fbc7efcde6408d7d1e513b969af25,Null Value,2023-09-05 20:02:42,fix inline_container.cc inplace loading,1,Missing,Program Crash,add,If Checker,Object is Not Null,Regular Object,,,
pytorch,https://github.com/pytorch/pytorch/commit/eb8659fe81f3d4b061674bf149a6805cd292db8d,Edge Cases,2023-08-31 16:21:20,pass inference accuracy check for detectron2_fcos_r_50_fpn. We need a higher tolerance to pass the inference accuracy check for detectron2_fcos_r_50_fpn .,1,Missing,Numerical Error,add,If Checker,Others,Others,,,
pytorch,https://github.com/pytorch/pytorch/commit/e31038d574712d383fdc4c2f1bb63fc82f256ed0,Type Checking,2023-08-30 10:55:18,"Check results dtype in index_out. This logic exists for index_put and index_add, but for some reason not for `index.out` Skip testing, as this function is not technically exposed on the Python level.",1,Missing,Unexpected Behavior,add,Macro Checker,Valid Tensor Type,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/48a49b2683ffa21eb1b472e503c129c043c18f87,Error Message,2023-07-10 15:00:47,"use more informative error message for ConstandPad2d/3d.  the current error message for `torch.nn.ConstantPad2d` and `torch.nn.ConstantPad3d` is misleading, this PR fixes the problem.",2,Misleading,Confusing Error Message,improve,Macro Checker,Improve Error Message,Error Message,,,
pytorch,https://github.com/pytorch/pytorch/commit/db1ac4e29b0f557711190c8d49d4afb5da1844e8,Backend Type,2023-07-06 5:52:48,"Summary: We should explicitly check for the gloo backend instead of relying on the shard's device, because user might pass a GPU tensor as input and a process group gloo as the pg, and expect that should work.",1,Insufficient,Unexpected Behavior,extend,If Checker,Available Backend,Backend,,,
pytorch,https://github.com/pytorch/pytorch/commit/a5ca445f7953711bc90c111c3cad2ec87f02e74a,Null Value,2023-06-30 18:53:49,"Check for corrupted ivalues. The error occurs because the `ivalues` field of flatbuffer module can be null, so the corresponding check must be inserted.",,Missing,Program Crash,add,Macro Checker,Object is Not Null,Regular Object,,,
pytorch,https://github.com/pytorch/pytorch/commit/a69f427f957a37eee9c1dd5df681f30ab38ed3e4,Type Checking,2023-06-26 18:01:27,aten: Ensure dim is size_t,,Improper,Others,update,Macro Checker,Valid Tensor Dimension,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/b3ace213f240dc0f0f2a738f825f46e0d0dffca4,Edge Cases,2023-06-23 20:49:14,The error occurs because there is not check in `deserialize_source` that `text_table_` size can be less than `fnameIndex`. To prevent the error the corresponding check must be located.,,Missing,Program Crash,add,Macro Checker,Others,Others,,,
pytorch,https://github.com/pytorch/pytorch/commit/8b37821813b60a3ce2ae92e7a06057183578a450,Device Type,2023-06-20 17:01:57,"if we want to use dp on other device ranther than ""cuda"", this balance  check will raise error, so I make the balance check only effective for `cuda`",,Insufficient,Others,extend,If Checker,Available Device,Device,,,
pytorch,https://github.com/pytorch/pytorch/commit/b287cb816c1ac52165920a121c98643c08d31ff7,Boundary Value,2023-06-15 23:56:39, inductor: make the vec_transpose's tiling stride doesn't depend on out_idx and tiling_idex. ,,Insufficient,Unexpected Behavior,extend,Boolean Expression,In Range Tensor Indexing,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/8340762211e3b55caa178bac748bd902249f6fc0,Type Checking,2023-06-13 22:13:05,Update lr_scheduler.py to check the type of eta_min. Add float assertion to `eta_min` parameter in `CosineAnnealingWarmRestarts`.,,Missing,Unexpected Behavior,add,Type Checking API,Valid Object Type,Regular Object,,,
pytorch,https://github.com/pytorch/pytorch/commit/6cc0f1c20c2f87a6c7b0e4abd5419e5007920999,Null Value,2023-06-13 19:54:45,Checking for nullptr in get_model_bytecode_version . One-liner commit to check that the ptr is not null. Just had `test_jit` that had a segfault there.,,Missing,Program Crash,add,Macro Checker,Object is Not Null,Regular Object,,,
pytorch,https://github.com/pytorch/pytorch/commit/2dafa70d61a1a5af849ab79c7aed4c84686337a0,Type Checking,2023-06-07 10:40:12,Add a little more error checking to minifier,,Missing,Others,add,Type Checking API,Valid Object Type,Regular Object,,,
pytorch,https://github.com/pytorch/pytorch/commit/3ef4d697df5bfdbd27dfc7a79c0679da2b87e3af,Backend Type,2023-05-30 15:22:37,"default backend need to check for nccl availability. As titled, we can only initialize nccl backend when NCCL is available",1,Missing,Unexpected Behavior,add,If Checker,Available Backend,Backend,,,
pytorch,https://github.com/pytorch/pytorch/commit/999bae0f54108ffc5b7cf2524a02a83901554b16,Edge Cases,2023-05-30 1:07:59,Add padding check for use_nnpack. nnp_convolution_output doesn't support the case of input padding > = kernel_size.,,Insufficient,Unexpected Behavior,extend,If Checker,Valid Tensor Dimension,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/faa7eb81c634492b70fcc0327622bb0aa812cacd,Error Message,2023-05-24 4:36:43,"change error_message for XPU Autocast data type check. XPU autocast supports bf16 and fp16 data types, we are going to change the error_message for that.",1,Misleading,Confusing Error Message,improve,If Checker,Improve Error Message,Error Message,,,
pytorch,https://github.com/pytorch/pytorch/commit/bdb3fb49bc7a73cbcc5c865dda8be32888deb584,Error Message,2023-05-22 14:37:05,Fix the check message of unsupported collectives ops.  Fix the check message of unsupported collectives ops.,1,Misleading,Confusing Error Message,improve,Macro Checker,Improve Error Message,Error Message,,,
pytorch,https://github.com/pytorch/pytorch/commit/bde7b81f34925491fbcbb9e355697eb594e36923,Null Value,2023-05-08 17:56:44,"Back out ""[PyTorch] Don't do extra numel() check in TensorImpl::data()",,Improper,Program Crash,update,If Checker,Object is Not Null,Regular Object,,,
pytorch,https://github.com/pytorch/pytorch/commit/97245a06e14a5b87a0bca1908d7200603aff2c8c,Edge Cases,2023-05-04 11:06:27,"TORCH_INTERNAL_ASSERT_DEBUG_ONLY won't be enabled during non-debug builds, but for 1 dimension Tensors the check is cheap enough and not catching this can slow down development a lot.",,Improper,Program Crash,replace,Macro Checker,Valid Tensor Dimension,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/794e3971ab90611b4a63166589368a737843c8bc,Boundary Value,2023-05-02 14:50:31,Add size check before calling stack_.at(dict_pos) in unpickler.cpp,,Missing,Program Crash,add,Macro Checker,Others,Others,,,
pytorch,https://github.com/pytorch/pytorch/commit/7684044b713761abd4f51225dc5d83ce5869562a,Edge Cases,2023-04-28 20:26:35,Add size check before calling .back() in rpc/script_call.cpp,,Missing,Program Crash,add,Macro Checker,Valid Integer Argument,Integer Variable,,,
pytorch,https://github.com/pytorch/pytorch/commit/8ee59280d78a4fefc4de0da04b287e067c28de0d,Edge Cases,2023-04-21 2:40:09,Bug - check config for dynamic,,Insufficient,Unexpected Behavior,extend,If Checker,Valid Tensor Dimension,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/ae55619a2bb73ebcdc80b02a6ccd72275a9ce23e,Type Checking,2023-04-14 12:57:35,Add check for same dtype in tensordot implementation,,Missing,Unexpected Behavior,add,Macro Checker,Valid Tensor Type,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/a3701b674046bcefb5927a6643364b186f77dbcf,Device Availability,2023-04-10 11:56:38,"fix backward bug for custom device. In the backward on some device , it may get an error to get device index because of exchange a new thread. So just set_device and check the device index in `setDevice`  func may be better for some many kinds of devices. For CUDA, the device index check is also included in `setDevice`  func",1,Unnecessary,Unexpected Behavior,remove,If Checker,Available Device,Device,,,
pytorch,https://github.com/pytorch/pytorch/commit/f386312ec936a94bfb1abe44acdd61d498f4272b,Null Value,2023-04-03 20:59:52,"Don't do extra numel() check in TensorImpl::data(). `is_empty()` checks `numel() == 0`, but we don't need to access `numel_` at all (or the policy that `numel()` checks) in our happy path -- we just need the data pointer from `storage_`. Let's do the check we need to do using only the data we strictly need, rather than adding instructions loading other pieces of data.",1,Improper,Performance Degradation,update,If Checker,Object is Not Null,Regular Object,,,
pytorch,https://github.com/pytorch/pytorch/commit/35be57970143236d74661f2415d66d496aab5476,Edge Cases,2023-03-29 19:08:03,"Refactor TENSOR_MATCH guards to check dim (for NT support). Tweaks the TENSOR_MATCH guard logic to avoid saving sizes / strides for the case of dynamic shapes. Instead, the dim() is stored, which is enough for both dense tensors and NTs.",,Improper,Program Crash,update,If Checker,Valid Tensor Dimension,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/bbc7c79b20e67da450dd9b7de70cc6b68e656714,Device Type,2023-03-27 14:57:27,add device checks for sparse csr,,Missing,Unexpected Behavior,add,Macro Checker,Valid Device Type,Device,,,
pytorch,https://github.com/pytorch/pytorch/commit/4ab1588d9919bc1a62219a5c2393e0784ddaae70,Error Message,2023-03-22 4:42:48,"Enhance error message for dependency check, If python development library is missing when building pytorch from source cmake will raise the error like: CMake Error at cmake/Dependencies.cmake:1079 (if): if given arguments: ""VERSION_LESS"" ""3""  Unknown arguments specified ```it's quite a misleading information that user would consider it's a syntax error or cmake version problem. This PR add a check to ensure `PYTHONLIBS_VERSION_STRING` exist before using.",1,Misleading,Confusing Error Message,improve,If Checker,Improve Error Message,Error Message,,,
